K00001	Adh; Alcohol dehydrogenase (EC:1.1.1.1 1.2.1.10); K00001 alcohol dehydrogenase [EC:1.1.1.1] (A)
K04893	KCND3, KCND3L, KCND3S, KSHIVB, KV4.3; potassium voltage-gated channel, Shal-related subfamily, member 3; K04893 potassium voltage-gated channel Shal-related subfamily D member 3 (A)
K04894	KCNE1, ISK, JLNS, JLNS2, LQT2/5, LQT5, MinK; potassium voltage-gated channel, Isk-related family, member 1; K04894 potassium voltage-gated channel Isk-related subfamily E member 1 (A)
K04895	KCNE1L, KCNE5; KCNE1-like; K04895 potassium voltage-gated channel Isk-related subfamily E member 1-like (A)
K04896	KCNE2, ATFB4, LQT5, LQT6, MIRP1; potassium voltage-gated channel, Isk-related family, member 2; K04896 potassium voltage-gated channel Isk-related subfamily E member 2 (A)
K04897	KCNE3, HOKPP, HYPP, MiRP2; potassium voltage-gated channel, Isk-related family, member 3; K04897 potassium voltage-gated channel Isk-related subfamily E member 3 (A)
K04898	KCNE4, MIRP3; potassium voltage-gated channel, Isk-related family, member 4; K04898 potassium voltage-gated channel Isk-related subfamily E member 4 (A)
K04899	KCNF1, IK8, KCNF, KV5.1, kH1; potassium voltage-gated channel, subfamily F, member 1; K04899 potassium voltage-gated channel subfamily F member 1 (A)
K04900	KCNG1, K13, KCNG, KV6.1, kH2; potassium voltage-gated channel, subfamily G, member 1; K04900 potassium voltage-gated channel subfamily G member 1 (A)
K04901	KCNG2, KCNF2, KV6.2; potassium voltage-gated channel, subfamily G, member 2; K04901 potassium voltage-gated channel subfamily G member 2 (A)
K04902	KCNG3, KV10.1, KV6.3; potassium voltage-gated channel, subfamily G, member 3; K04902 potassium voltage-gated channel subfamily G member 3 (A)
K04903	KCNG4, KV6.3, KV6.4; potassium voltage-gated channel, subfamily G, member 4; K04903 potassium voltage-gated channel subfamily G member 4 (A)
K04904	KCNH1, EAG, EAG1, Kv10.1, h-eag; potassium voltage-gated channel, subfamily H (eag-related), member 1; K04904 potassium voltage-gated channel Eag-related subfamily H member 1 (A)
K04905	KCNH2, ERG1, HERG, HERG1, Kv11.1, LQT2, SQT1; potassium voltage-gated channel, subfamily H (eag-related), member 2; K04905 potassium voltage-gated channel Eag-related subfamily H member 2 (A)
K04906	KCNH3, BEC1, ELK2, Kv12.2; potassium voltage-gated channel, subfamily H (eag-related), member 3; K04906 potassium voltage-gated channel Eag-related subfamily H member 3 (A)
K04907	KCNH4, BEC2, ELK1, Kv12.3; potassium voltage-gated channel, subfamily H (eag-related), member 4; K04907 potassium voltage-gated channel Eag-related subfamily H member 4 (A)
K04908	KCNH5, EAG2, H-EAG2, Kv10.2; potassium voltage-gated channel, subfamily H (eag-related), member 5; K04908 potassium voltage-gated channel Eag-related subfamily H member 5 (A)
K04909	KCNH6, ERG2, HERG2, Kv11.2; potassium voltage-gated channel, subfamily H (eag-related), member 6; K04909 potassium voltage-gated channel Eag-related subfamily H member 6 (A)
K04910	KCNH7, ERG3, HERG3, Kv11.3; potassium voltage-gated channel, subfamily H (eag-related), member 7; K04910 potassium voltage-gated channel Eag-related subfamily H member 7 (A)
K04911	KCNH8, ELK, ELK1, Kv12.1, elk3; potassium voltage-gated channel, subfamily H (eag-related), member 8; K04911 potassium voltage-gated channel Eag-related subfamily H member 8 (A)
K04912	KCNK1, DPK, HOHO, K2P1, K2p1.1, KCNO1, TWIK-1, TWIK1; potassium channel, subfamily K, member 1; K04912 potassium channel subfamily K member 1 (A)
K04913	KCNK2, K2p2.1, TPKC1, TREK, TREK-1, TREK1, hTREK-1c, hTREK-1e; potassium channel, subfamily K, member 2; K04913 potassium channel subfamily K member 2 (A)
K04914	KCNK3, K2p3.1, OAT1, TASK, TASK-1, TBAK1; potassium channel, subfamily K, member 3; K04914 potassium channel subfamily K member 3 (A)
K04915	KCNK4, K2p4.1, TRAAK, TRAAK1; potassium channel, subfamily K, member 4; K04915 potassium channel subfamily K member 4 (A)
K04916	KCNK5, K2p5.1, TASK-2, TASK2; potassium channel, subfamily K, member 5; K04916 potassium channel subfamily K member 5 (A)
K04917	KCNK6, K2p6.1, KCNK8, TOSS, TWIK-2, TWIK2; potassium channel, subfamily K, member 6; K04917 potassium channel subfamily K member 6 (A)
K04918	KCNK7, K2p7.1, TWIK3; potassium channel, subfamily K, member 7; K04918 potassium channel subfamily K member 7 (A)
K04919	KCNK9, K2p9.1, KT3.2, TASK-3, TASK3; potassium channel, subfamily K, member 9; K04919 potassium channel subfamily K member 9 (A)
K04920	KCNK10, K2p10.1, TREK-2, TREK2; potassium channel, subfamily K, member 10; K04920 potassium channel subfamily K member 10 (A)
K04921	KCNK12, K2p12.1, THIK-2, THIK2; potassium channel, subfamily K, member 12; K04921 potassium channel subfamily K member 12 (A)
K04922	KCNK13, K2p13.1, THIK-1, THIK1; potassium channel, subfamily K, member 13; K04922 potassium channel subfamily K member 13 (A)
K04923	KCNK15, K2p15.1, KCNK11, KCNK14, KT3.3, TASK-5, TASK5, dJ781B1.1; potassium channel, subfamily K, member 15; K04923 potassium channel subfamily K member 15 (A)
K04924	KCNK16, K2p16.1, TALK-1, TALK1; potassium channel, subfamily K, member 16; K04924 potassium channel subfamily K member 16 (A)
K04925	KCNK17, K2p17.1, TALK-2, TALK2, TASK-4, TASK4; potassium channel, subfamily K, member 17; K04925 potassium channel subfamily K member 17 (A)
K04926	KCNQ1, ATFB1, ATFB3, JLNS1, KCNA8, KCNA9, KVLQT1, Kv1.9, Kv7.1, LQT, LQT1, RWS, SQT2, WRS; potassium voltage-gated channel, KQT-like subfamily, member 1; K04926 potassium voltage-gated channel KQT-like subfamily member 1 (A)
K04927	KCNQ2, BFNC, BFNS1, EBN, EBN1, EIEE7, ENB1, HNSPC, KCNA11, KV7.2, KVEBN1; potassium voltage-gated channel, KQT-like subfamily, member 2; K04927 potassium voltage-gated channel KQT-like subfamily member 2 (A)
K04928	KCNQ3, BFNC2, EBN2, KV7.3; potassium voltage-gated channel, KQT-like subfamily, member 3; K04928 potassium voltage-gated channel KQT-like subfamily member 3 (A)
K04929	KCNQ4, DFNA2, DFNA2A, KV7.4; potassium voltage-gated channel, KQT-like subfamily, member 4; K04929 potassium voltage-gated channel KQT-like subfamily member 4 (A)
K04930	KCNQ5, Kv7.5; potassium voltage-gated channel, KQT-like subfamily, member 5; K04930 potassium voltage-gated channel KQT-like subfamily member 5 (A)
K04931	KCNS1, KV9.1; potassium voltage-gated channel, delayed-rectifier, subfamily S, member 1; K04931 potassium voltage-gated channel delayed-rectifier subfamily S member 1 (A)
K04932	KCNS2, KV9.2; potassium voltage-gated channel, delayed-rectifier, subfamily S, member 2; K04932 potassium voltage-gated channel delayed-rectifier subfamily S member 2 (A)
K04933	KCNS3, KV9.3; potassium voltage-gated channel, delayed-rectifier, subfamily S, member 3; K04933 potassium voltage-gated channel delayed-rectifier subfamily S member 3 (A)
K04934	KCNV1, HNKA, KCNB3, KV2.3, KV8.1; potassium channel, subfamily V, member 1; K04934 potassium channel subfamily V member 1 (A)
K04935	KCNV2, KV11.1, Kv8.2, RCD3B; potassium channel, subfamily V, member 2; K04935 potassium channel subfamily V member 2 (A)
K04936	KCNMA1, BKTM, KCa1.1, MaxiK, SAKCA, SLO, SLO-ALPHA, SLO1, bA205K10.1, mSLO1; potassium large conductance calcium-activated channel, subfamily M, alpha member 1; K04936 potassium large conductance calcium-activated channel subfamily M alpha member 1 (A)
K04937	KCNMB1, K(VCA)beta, SLO-BETA, hslo-beta; potassium large conductance calcium-activated channel, subfamily M, beta member 1; K04937 potassium large conductance calcium-activated channel subfamily M beta member 1 (A)
K04938	KCNMB2; potassium large conductance calcium-activated channel, subfamily M, beta member 2; K04938 potassium large conductance calcium-activated channel subfamily M beta member 2 (A)
K04939	KCNMB3, BKBETA3, HBETA3, KCNMB2, KCNMBL, SLOBETA3; potassium large conductance calcium-activated channel, subfamily M beta member 3; K04939 potassium large conductance calcium-activated channel subfamily M beta member 3 (A)
K04940	NAD-dependent glycerol-3-phosphate dehydrogenase-like (EC:1.5.1.28); K04940 opine dehydrogenase [EC:1.5.1.28] (A)
K04941	KCNMB4; potassium large conductance calcium-activated channel, subfamily M, beta member 4; K04941 potassium large conductance calcium-activated channel subfamily M beta member 4 (A)
K04942	KCNN1, KCa2.1, SK1, SKCA1, hSK1; potassium intermediate/small conductance calcium-activated channel, subfamily N, member 1; K04942 potassium intermediate/small conductance calcium-activated channel subfamily N member 1 (A)
K04943	KCNN2, KCa2.2, SK2, SKCA2, hSK2; potassium intermediate/small conductance calcium-activated channel, subfamily N, member 2; K04943 potassium intermediate/small conductance calcium-activated channel subfamily N member 2 (A)
K04944	KCNN3, KCa2.3, SK3, SKCA3, hSK3; potassium intermediate/small conductance calcium-activated channel, subfamily N, member 3; K04944 potassium intermediate/small conductance calcium-activated channel subfamily N member 3 (A)
K04945	KCNN4, IK1, IKCA1, KCA4, KCa3.1, SK4, hIKCa1, hKCa4, hSK4; potassium intermediate/small conductance calcium-activated channel, subfamily N, member 4; K04945 potassium intermediate/small conductance calcium-activated channel subfamily N member 4 (A)
K04946	KCNT1, KCa4.1, SLACK, bA100C15.2; potassium channel, subfamily T, member 1; K04946 potassium channel subfamily T member 1 (A)
K04947	KCNT2, KCa4.2, SLICK, SLO2.1; potassium channel, subfamily T, member 2; K04947 potassium channel subfamily T member 2 (A)
K04948	CNGA1, CNCG, CNCG1, CNG1, RCNC1, RCNCa, RCNCalpha, RP49; cyclic nucleotide gated channel alpha 1; K04948 cyclic nucleotide gated channel alpha 1 (A)
K04949	CNGA2, CNCA, CNCA1, CNG2, OCNC1, OCNCALPHA, OCNCa; cyclic nucleotide gated channel alpha 2; K04949 cyclic nucleotide gated channel alpha 2 (A)
K04950	CNGA3, ACHM2, CCNC1, CCNCa, CCNCalpha, CNCG3, CNG3; cyclic nucleotide gated channel alpha 3; K04950 cyclic nucleotide gated channel alpha 3 (A)
K04951	CNGA4, CNCA2, CNG-4, CNG4, CNG5, CNGB2, OCNC2, OCNCBETA, OCNCb; cyclic nucleotide gated channel alpha 4; K04951 cyclic nucleotide gated channel alpha 4 (A)
K04952	CNGB1, CNCG2, CNCG3L, CNCG4, CNG4, CNGB1B, GAR1, GARP, RCNC2, RCNCb, RCNCbeta, RP45; cyclic nucleotide gated channel beta 1; K04952 cyclic nucleotide gated channel beta 1 (A)
K04953	CNGB3, ACHM3; cyclic nucleotide gated channel beta 3; K04953 cyclic nucleotide gated channel beta 3 (A)
K04954	HCN1, BCNG-1, BCNG1, HAC-2; hyperpolarization activated cyclic nucleotide-gated potassium channel 1; K04954 hyperpolarization activated cyclic nucleotide-gated potassium channel 1 (A)
K04955	HCN2, BCNG-2, BCNG2, HAC-1; hyperpolarization activated cyclic nucleotide-gated potassium channel 2; K04955 hyperpolarization activated cyclic nucleotide-gated potassium channel 2 (A)
K04956	HCN3; hyperpolarization activated cyclic nucleotide-gated potassium channel 3; K04956 hyperpolarization activated cyclic nucleotide-gated potassium channel 3 (A)
K04957	HCN4, SSS2; hyperpolarization activated cyclic nucleotide-gated potassium channel 4; K04957 hyperpolarization activated cyclic nucleotide-gated potassium channel 4 (A)
K04958	ITPR1, INSP3R1, IP3R, IP3R1, SCA15, SCA16; inositol 1,4,5-trisphosphate receptor, type 1; K04958 inositol 1,4,5-triphosphate receptor type 1 (A)
K04959	ITPR2, IP3R2; inositol 1,4,5-trisphosphate receptor, type 2; K04959 inositol 1,4,5-triphosphate receptor type 2 (A)
K04960	ITPR3, IP3R, IP3R3; inositol 1,4,5-trisphosphate receptor, type 3; K04960 inositol 1,4,5-triphosphate receptor type 3 (A)
K04961	RYR1, CCO, MHS, MHS1, RYDR, RYR, RYR-1, SKRR; ryanodine receptor 1 (skeletal); K04961 ryanodine receptor 1 (A)
K04962	RYR2, ARVC2, ARVD2, RYR-2, RyR, VTSIP; ryanodine receptor 2 (cardiac); K04962 ryanodine receptor 2 (A)
K04963	RYR3; ryanodine receptor 3; K04963 ryanodine receptor 3 (A)
K04964	TRPC1, HTRP-1, TRP1; transient receptor potential cation channel, subfamily C, member 1; K04964 transient receptor potential cation channel subfamily C member 1 (A)
K04965	Trpc2, 3010009O07Rik, AI115608, TRPC2a, TRPC2b, Trrp2, mTrp2, smTRPC2, trp2; transient receptor potential cation channel, subfamily C, member 2; K04965 transient receptor potential cation channel subfamily C member 2 (A)
K04966	TRPC3, TRP3; transient receptor potential cation channel, subfamily C, member 3; K04966 transient receptor potential cation channel subfamily C member 3 (A)
K04967	TRPC4, HTRP-4, HTRP4, TRP4; transient receptor potential cation channel, subfamily C, member 4; K04967 transient receptor potential cation channel subfamily C member 4 (A)
K04968	TRPC5, TRP5; transient receptor potential cation channel, subfamily C, member 5; K04968 transient receptor potential cation channel subfamily C member 5 (A)
K04969	TRPC6, FSGS2, TRP6; transient receptor potential cation channel, subfamily C, member 6; K04969 transient receptor potential cation channel subfamily C member 6 (A)
K04970	TRPC7, TRP7; transient receptor potential cation channel, subfamily C, member 7; K04970 transient receptor potential cation channel subfamily C member 7 (A)
K04971	TRPV2, VRL, VRL-1, VRL1; transient receptor potential cation channel, subfamily V, member 2; K04971 transient receptor potential cation channel subfamily V member 2 (A)
K04972	TRPV3, OLMS, VRL3; transient receptor potential cation channel, subfamily V, member 3; K04972 transient receptor potential cation channel subfamily V member 3 (A)
K04973	TRPV4, CMT2C, HMSN2C, OTRPC4, SPSMA, SSQTL1, TRP12, VRL2, VROAC; transient receptor potential cation channel, subfamily V, member 4; K04973 transient receptor potential cation channel subfamily V member 4 (A)
K04974	TRPV5, CAT2, ECAC1, OTRPC3; transient receptor potential cation channel, subfamily V, member 5; K04974 transient receptor potential cation channel subfamily V member 5 (A)
K04975	TRPV6, ABP/ZF, CAT1, CATL, ECAC2, HSA277909, LP6728, ZFAB; transient receptor potential cation channel, subfamily V, member 6; K04975 transient receptor potential cation channel subfamily V member 6 (A)
K04976	TRPM1, CSNB1C, LTRPC1, MLSN1; transient receptor potential cation channel, subfamily M, member 1; K04976 transient receptor potential cation channel subfamily M member 1 (A)
K04977	TRPM2, EREG1, KNP3, LTRPC2, NUDT9H, NUDT9L1, TRPC7; transient receptor potential cation channel, subfamily M, member 2 (EC:3.6.1.13); K04977 transient receptor potential cation channel subfamily M member 2 (A)
K04978	TRPM3, GON-2, LTRPC3, MLSN2; transient receptor potential cation channel, subfamily M, member 3; K04978 transient receptor potential cation channel subfamily M member 3 (A)
K04979	TRPM4, PFHB1B, TRPM4B; transient receptor potential cation channel, subfamily M, member 4; K04979 transient receptor potential cation channel subfamily M member 4 (A)
K04980	TRPM5, LTRPC5, MTR1; transient receptor potential cation channel, subfamily M, member 5; K04980 transient receptor potential cation channel subfamily M member 5 (A)
K04981	TRPM6, CHAK2, HMGX, HOMG, HOMG1, HSH; transient receptor potential cation channel, subfamily M, member 6 (EC:2.7.11.1); K04981 transient receptor potential cation channel subfamily M member 6 [EC:2.7.11.1] (A)
K04982	TRPM7, CHAK, CHAK1, LTRPC7, TRP-PLIK; transient receptor potential cation channel, subfamily M, member 7 (EC:2.7.11.1); K04982 transient receptor potential cation channel subfamily M member 7 [EC:2.7.11.1] (A)
K04983	TRPM8, LTRPC6, TRPP8; transient receptor potential cation channel, subfamily M, member 8; K04983 transient receptor potential cation channel subfamily M member 8 (A)
K04984	TRPA1, ANKTM1; transient receptor potential cation channel, subfamily A, member 1; K04984 transient receptor potential cation channel subfamily A member 1 (A)
K04985	PKD1, PBP, Pc-1, TRPP1; polycystic kidney disease 1 (autosomal dominant); K04985 polycystin 1 (A)
K04986	PKD2, APKD2, PC2, PKD4, Pc-2, TRPP2; polycystic kidney disease 2 (autosomal dominant); K04986 polycystin 2 (A)
K04987	PKD1L1, PRO19563; polycystic kidney disease 1 like 1; K04987 polycystin 1L1 (A)
K04988	PKD1L2, PC1L2; polycystic kidney disease 1-like 2; K04988 polycystin 1L2 (A)
K04989	PKD1L3; polycystic kidney disease 1-like 3; K04989 polycystin 1L3 (A)
K04990	PKD2L1, PCL, PKD2L, PKDL, TRPP3; polycystic kidney disease 2-like 1; K04990 polycystin 2L1 (A)
K04991	PKD2L2, TRPP5; polycystic kidney disease 2-like 2; K04991 polycystin 2L2 (A)
K04992	MCOLN1, MG-2, ML4, MLIV, MST080, TRP-ML1, TRPM-L1, TRPML1; mucolipin 1; K04992 mucolipin 1 (A)
K04993	MCOLN2, TRP-ML2, TRPML2; mucolipin 2; K04993 mucolipin 2 (A)
K04994	MCOLN3, TRP-ML3, TRPML3; mucolipin 3; K04994 mucolipin 3 (A)
K04995	KCNJ1, KIR1.1, ROMK, ROMK1; potassium inwardly-rectifying channel, subfamily J, member 1; K04995 potassium inwardly-rectifying channel subfamily J member 1 (A)
K04996	KCNJ2, ATFB9, HHBIRK1, HHIRK1, IRK1, KIR2.1, LQT7, SQT3; potassium inwardly-rectifying channel, subfamily J, member 2; K04996 potassium inwardly-rectifying channel subfamily J member 2 (A)
K04997	KCNJ3, GIRK1, KGA, KIR3.1; potassium inwardly-rectifying channel, subfamily J, member 3; K04997 potassium inwardly-rectifying channel subfamily J member 3 (A)
K04998	KCNJ4, HIR, HIRK2, HRK1, IRK-3, IRK3, Kir2.3; potassium inwardly-rectifying channel, subfamily J, member 4; K04998 potassium inwardly-rectifying channel subfamily J member 4 (A)
K04999	KCNJ5, CIR, GIRK4, KATP1, KIR3.4, LQT13; potassium inwardly-rectifying channel, subfamily J, member 5; K04999 potassium inwardly-rectifying channel subfamily J member 5 (A)
K05000	KCNJ6, BIR1, GIRK-2, GIRK2, KATP-2, KATP2, KCNJ7, KIR3.2, hiGIRK2; potassium inwardly-rectifying channel, subfamily J, member 6; K05000 potassium inwardly-rectifying channel subfamily J member 6 (A)
K05001	KCNJ8, KIR6.1, uKATP-1; potassium inwardly-rectifying channel, subfamily J, member 8; K05001 potassium inwardly-rectifying channel subfamily J member 8 (A)
K05002	KCNJ9, GIRK3, KIR3.3; potassium inwardly-rectifying channel, subfamily J, member 9; K05002 potassium inwardly-rectifying channel subfamily J member 9 (A)
K05003	KCNJ10, BIRK-10, KCNJ13-PEN, KIR1.2, KIR4.1, SESAME; potassium inwardly-rectifying channel, subfamily J, member 10; K05003 potassium inwardly-rectifying channel subfamily J member 10 (A)
K05004	KCNJ11, BIR, HHF2, IKATP, KIR6.2, PHHI, TNDM3; potassium inwardly-rectifying channel, subfamily J, member 11; K05004 potassium inwardly-rectifying channel subfamily J member 11 (A)
K05005	KCNJ12, IRK-2, IRK2, KCNJN1, Kir2.2, Kir2.2v, hIRK, hIRK1, hkir2.2x, kcnj12x; potassium inwardly-rectifying channel, subfamily J, member 12; K05005 potassium inwardly-rectifying channel subfamily J member 12 (A)
K05006	KCNJ13, KIR1.4, KIR7.1, LCA16, SVD; potassium inwardly-rectifying channel, subfamily J, member 13; K05006 potassium inwardly-rectifying channel subfamily J member 13 (A)
K05007	KCNJ14, IRK4, KIR2.4; potassium inwardly-rectifying channel, subfamily J, member 14; K05007 potassium inwardly-rectifying channel subfamily J member 14 (A)
K05008	KCNJ15, IRKK, KIR1.3, KIR4.2; potassium inwardly-rectifying channel, subfamily J, member 15; K05008 potassium inwardly-rectifying channel subfamily J member 15 (A)
K05009	KCNJ16, BIR9, KIR5.1; potassium inwardly-rectifying channel, subfamily J, member 16; K05009 potassium inwardly-rectifying channel subfamily J member 16 (A)
K05010	CLCN1, CLC1; chloride channel, voltage-sensitive 1; K05010 chloride channel 1, skeletal muscle (A)
K05011	CLCN2, CIC-2, CLC2, ECA2, ECA3, EGI11, EGI3, EGMA, EJM6, EJM8, clC-2; chloride channel, voltage-sensitive 2; K05011 chloride channel 2 (A)
K05012	CLCN3, CLC3, ClC-3; chloride channel, voltage-sensitive 3; K05012 chloride channel 3 (A)
